gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160255	60157.30379002324	3.1331405163528405	0.14605940835021802	21.451137942721672	4.4561688879969715e-102	1.0204626753513064e-99
ENSG00000156265	31990.45690855736	3.0020119594216106	0.14616802657401087	20.538089141550863	9.83568007141273e-94	1.1261853681767577e-91
ENSG00000180509	35047.496600132756	3.2336121744162436	0.1709644868833499	18.913940745030615	8.756212953505979e-80	6.68390922117623e-78
ENSG00000142192	47700.1756942099	3.092160133063063	0.1824367647116803	16.949216008899608	1.950372095484456e-64	1.116588024664851e-62
ENSG00000183527	7913.298380534019	2.8346859663752375	0.16915770546617018	16.757652029881346	4.979023971309698e-63	2.2803929788598416e-61
ENSG00000159128	10519.818330060141	2.496235863969859	0.15374228105627036	16.236495561401394	2.7837963454488057e-59	1.0624822718462942e-57
ENSG00000142168	6494.970814688301	2.9855869644640407	0.22418460606337595	13.317537795704085	1.8304523088985261e-40	5.988193981968036e-39
ENSG00000160307	4690.024560875385	3.35862636070204	0.286533540594371	11.721581891373248	9.880948472723575e-32	2.8284215003171232e-30
ENSG00000159197	1665.5365758126552	2.2393380859761933	0.2033662555095533	11.011355253433372	3.36897330597912e-28	8.572165411880205e-27
ENSG00000160284	7006.260440981632	3.4501841805551354	0.5545623881264539	6.221453626184992	4.925697536713379e-10	1.1279847359073636e-8
ENSG00000183421	2747.2405430902973	-0.6359351425238421	0.17994448764877133	-3.534062925923612	4.0922363894478413e-4	0.008519292119850506
ENSG00000166265	1156.2642990902766	-0.6739535246009842	0.2088390389461745	-3.227143392355329	0.001250327848540792	0.023860423109653445
ENSG00000156256	5806.375792173633	-0.44488106093029856	0.14672758777035652	-3.0320205469920376	0.002429226677255721	0.04279176223781232
